DDR5,Team,5600,5600,16GB,FF4D532G5600HC36BBK,Hynix-M,SS,v,v,2,,,
DDR5,V-Color,5600,5600,16GB,TMXPL1656836WWK,Hynix A-die,SS,v,,2,,,
DDR5,ADATA,6400,6400,16GB,AX5U6400C4016G-DCLARBK,,SS,v,,2,v,,
DDR5,V-Color,5600,5600,16GB,TMXSAL1656830SWK,Hynix A-die,SS,,v,2,,,
DDR5,V-Color,5600,5600,16GB,TMXSAL1656830WWK,Hynix A-die,SS,,v,2,,,
DDR5,V-Color,5600,5600,16GB,TMXPL1656836KWK,Hynix A-die,SS,v,,2,,,
DDR5,V-Color,5600,5600,16GB,TMXSAL1656830KWK,Hynix A-die,SS,,v,2,,,
DDR5,V-Color,5600,5600,16GB,TMXPL1656836SWK,Hynix A-die,SS,v,,2,,,
DDR5,V-Color,5600,5600,16GB,TD516G56S846,Hynix A-die,SS,,,2,,,
DDR5,Corsair,6400,6400,16GB,CMK32GX5M2X6400C38 ver 5.43.13,Hynix M-die,SS,v,,2,v,,
DDR5,Corsair,6400,6400,16GB,CMT32GX5M2X6400C32 ver 5.43.13,Hynix M-die,SS,v,,2,v,,
DDR5,V-Color,5600,5600,16GB,TD516G56S846K,Hynix A-die,SS,,,2,,,
DDR5,Kingston,6000,6000,8GB,KF560C30BBK2-16,Hynix A-die,SS,v,,2,v,,
DDR5,Kingston,6000,6000,8GB,KF560C30BBEAK2-16,Hynix A-die,SS,v,v,2,v,,
DDR5,Kingston,6000,6000,8GB,KF560C36BBEK2-16,Hynix A-die,SS,v,v,2,v,,
DDR5,Kingston,6000,6000,8GB,KF560C36BBE-8,Hynix A-die,SS,v,v,2,v,,
DDR5,Kingston,6000,6000,8GB,KF560C36BBEA-8,Hynix A-die,SS,v,v,2,v,,
DDR5,Kingston,6000,6000,8GB,KF560C30BBAK2-16,Hynix A-die,SS,v,,2,v,,
DDR5,Kingston,6000,6000,8GB,KF560C36BBEAK2-16,Hynix A-die,SS,v,v,2,v,,
DDR5,Geil,6400,6400,16GB,GAVSG532GB6400C42ADC,Micron,SS,v,v,2,v,03.15,
DDR5,Geil,6400,6400,16GB,GAVSG532GB6400C38BDC,Micron,SS,v,v,2,v,03.15,
DDR5,Corsair,6000,6000,32GB,CMP64GX5M2B6000C30W ver 5.43.01,Hynix A-die,DS,v,,2,v,,
DDR5,G.Skill,6000,6000,32GB,F5-6000J3040G32GX2-TZ5NR,Hynix,DS,,v,2,v,,
DDR5,Kingston,6000,6000,32GB,KF560C30BWAK2-64,Hynix A-die,DS,v,,2,v,,
DDR5,Kingston,6000,6000,32GB,KF560C30BBEK2-64,Hynix A-die,DS,v,v,2,v,,
DDR5,Kingston,6000,6000,32GB,KF560C30BBAK2-64,Hynix A-die,DS,v,,2,v,,
DDR5,Kingston,6000,6000,32GB,KF560C30BBEAK2-64,Hynix A-die,DS,v,v,2,v,,
DDR5,Kingston,6000,6000,32GB,KF560C30BBK2-64,Hynix A-die,DS,v,,2,v,,
DDR5,Kingston,6000,6000,32GB,KF560C30BWEAK2-64,Hynix A-die,DS,v,v,2,v,,
DDR5,Kingston,6000,6000,32GB,KF560C30BWK2-64,Hynix A-die,DS,v,,2,v,,
